"X14","X15","X10","X17","X2","X16","X9","X11","X1","X5","X12","X7","X4","X3","X6"
2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
9,1,1,1,0,0,0,0,1,0,0,0,0,0,0
3,2,0,0,0,0,0,0,1,0,0,0,0,0,0
56,24,2,5,2,0,1,1,0,1,0,0,0,0,0
17,7,3,3,0,0,0,1,1,0,0,0,0,0,0
240,90,33,16,4,8,2,1,0,0,0,0,0,1,0
100,35,13,4,1,1,2,0,0,0,0,0,0,1,0
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
59,15,8,5,0,0,2,0,0,1,0,0,0,0,0
12,6,2,0,1,0,0,0,0,2,0,0,0,0,0
14,14,3,0,1,1,1,0,1,0,0,0,0,0,0
155,28,8,13,2,2,3,0,0,1,0,0,0,0,0
18,3,0,0,0,0,1,0,0,1,0,0,0,0,0
12,8,0,0,0,0,0,0,0,1,0,0,0,0,0
18,16,0,1,1,0,0,0,1,0,0,0,0,0,0
35,3,1,4,1,1,0,0,1,0,0,0,0,0,0
3,3,0,0,0,0,0,0,0,1,0,0,0,0,0
3,0,2,0,0,1,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
8,2,1,0,1,1,0,0,1,0,0,0,0,0,0
3,1,0,0,0,0,0,0,1,0,0,0,0,0,0
30,6,2,1,0,0,0,0,1,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
31,11,0,6,0,0,0,0,1,0,0,0,0,0,0
28,5,5,0,0,3,0,0,0,0,1,0,0,0,0
3,6,0,0,0,0,0,0,1,0,0,0,0,0,0
88,24,9,6,3,0,1,0,0,1,0,0,0,0,0
5,3,2,1,0,1,2,0,0,0,0,0,0,0,1
44,21,2,2,1,0,1,0,0,0,0,0,1,0,0
5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,2,1,1,0,0,0,0,1,0,0,0,0,0,0
63,7,6,0,2,3,1,1,0,1,0,0,0,0,0
7,6,0,0,1,0,0,0,1,0,0,0,0,0,0
4,2,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,3,0,0,1,0,0,0,1,0,0,0,0,0,0
103,17,5,5,0,0,1,1,0,1,0,0,0,0,0
21,3,0,1,0,0,0,0,0,0,1,0,0,0,0
36,12,1,1,0,0,1,0,1,0,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0,0,0,0,1,0
37,15,4,3,0,0,1,0,0,1,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
3,6,0,1,1,0,1,0,1,0,0,0,0,0,0
177,23,4,4,3,0,0,0,1,0,0,0,0,0,0
38,9,4,2,2,5,0,0,0,1,0,0,0,0,0
19,5,1,2,0,0,0,0,0,1,0,0,0,0,0
10,3,0,0,0,0,0,0,1,0,0,0,0,0,0
10,3,0,0,0,0,0,0,0,1,0,0,0,0,0
4,5,1,0,0,1,1,0,1,0,0,0,0,0,0
25,14,0,1,0,0,2,0,0,1,0,0,0,0,0
401,81,20,17,3,2,0,3,4,0,0,0,0,0,0
37,10,4,1,0,1,3,0,0,0,0,0,2,0,0
65,8,24,6,1,2,2,0,0,1,0,0,0,0,0
13,5,1,3,2,0,0,0,0,0,0,0,1,0,0
118,22,20,15,0,5,0,0,1,0,0,0,0,0,0
20,9,2,0,0,0,0,0,1,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,1,0,0,0,0,0
14,2,2,2,1,2,0,0,0,0,1,0,0,0,0
50,8,1,1,1,0,1,0,0,0,1,0,0,0,0
14,5,3,3,0,0,0,0,0,1,0,0,0,0,0
36,16,7,0,0,1,1,0,1,0,0,0,0,0,0
35,8,5,1,0,2,0,0,0,0,0,0,1,0,0
176,26,10,5,2,2,4,1,0,1,0,0,0,0,0
6,0,0,0,0,0,0,1,0,0,1,0,0,0,0
18,9,2,1,0,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,12,1,0,0,0,0,1,0,0,0,0,1,0,0
3,8,0,0,0,0,0,0,1,0,0,0,0,0,0
25,11,0,0,0,0,0,0,0,0,0,1,0,0,0
5,4,2,1,0,2,0,0,1,0,0,0,0,0,0
2,3,1,0,0,1,0,0,0,0,1,0,0,0,0
89,42,12,1,1,0,0,0,0,2,0,0,0,0,0
55,7,2,4,0,0,2,1,0,1,0,0,0,0,0
70,27,3,5,1,0,0,2,0,1,0,0,0,0,0
40,6,2,3,1,0,0,0,0,1,0,0,0,0,0
65,15,5,5,0,1,3,1,1,0,0,0,0,0,0
3,0,1,0,0,0,0,0,0,0,0,0,1,0,0
64,10,13,2,1,3,2,0,0,1,0,0,0,0,0
3,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,7,2,0,1,0,1,0,0,1,0,0,0,0,0
23,8,1,1,0,0,0,0,0,1,0,0,0,0,0
158,25,11,7,1,4,2,0,0,0,1,0,0,0,0
5,2,0,0,0,0,0,0,0,1,0,0,0,0,0
3,2,0,0,0,0,1,0,0,0,1,0,0,0,0
16,12,2,0,0,0,0,0,0,0,1,0,0,0,0
100,37,2,3,2,0,0,0,0,1,0,0,0,0,0
44,10,5,6,1,1,0,0,0,2,0,0,0,0,0
17,6,2,3,0,0,0,0,1,0,0,0,0,0,0
3,3,1,0,0,0,0,0,0,1,0,0,0,0,0
5,3,1,1,0,0,0,0,0,1,0,0,0,0,0
18,5,3,0,0,1,0,0,0,1,0,0,0,0,0
4,5,1,0,0,0,0,0,0,1,0,0,0,0,0
26,3,2,0,0,1,0,0,0,1,0,0,0,0,0
34,9,2,4,1,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,0,0,1,0,0,0,1,0,0,0,0,0,0
2,5,0,0,0,0,0,0,0,0,1,0,0,0,0
80,30,6,2,1,0,2,1,0,0,0,0,0,0,1
5,9,1,0,0,0,0,0,1,0,0,0,0,0,0
17,5,1,1,2,0,0,0,0,0,0,0,0,1,0
66,23,1,5,0,1,0,0,1,0,0,0,0,0,0
42,16,2,1,3,0,0,0,0,0,0,0,0,1,0
3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,2,0,1,0,0,0,0,1,0,0,0,0,0,0
45,16,1,4,0,0,1,0,1,0,0,0,0,0,0
6,0,2,0,0,1,1,0,0,1,0,0,0,0,0
17,12,0,0,1,0,0,0,1,0,0,0,0,0,0
48,15,4,2,1,2,0,0,0,0,0,1,0,0,0
21,5,0,0,0,0,0,0,0,0,0,0,0,1,0
30,10,1,1,0,1,4,0,0,1,0,0,0,0,0
77,17,2,5,1,0,0,0,1,0,0,0,0,0,0
76,20,3,0,2,0,0,1,2,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
64,24,2,1,3,0,2,0,0,1,0,0,0,0,0
5,1,1,0,0,1,0,0,0,0,0,0,1,0,0
11,5,1,1,1,0,0,0,0,0,0,0,0,1,0
138,15,3,13,0,0,0,0,0,2,0,0,0,0,0
30,6,4,2,0,1,0,0,1,0,0,0,0,0,0
106,18,7,1,3,2,1,1,0,0,0,1,0,0,0
8,2,1,0,1,0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
133,30,14,14,3,3,0,0,1,0,0,0,0,0,0
15,9,0,0,0,0,0,0,0,0,1,0,0,0,0
8,1,0,0,0,0,0,1,1,0,0,0,0,0,0
26,6,2,2,0,1,0,0,1,0,0,0,0,0,0
5,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11,3,1,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
173,22,25,19,5,5,2,2,1,0,0,0,0,0,0
5,6,0,0,0,0,0,0,1,0,0,0,0,0,0
39,14,3,6,0,0,2,0,1,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,1,0,1,0,0,0,0,1,0,0,0,0,0,0
62,19,1,2,1,0,2,0,1,0,0,0,0,0,0
21,2,1,2,0,3,0,0,0,1,0,0,0,0,0
75,23,11,3,1,5,5,1,0,1,0,0,0,0,0
78,24,2,2,0,0,2,0,2,0,0,0,0,0,0
61,13,11,9,1,2,0,1,0,0,0,1,0,0,0
